User_ID,Age,Gender,Daily_Usage_Hours,Phone_Usage_Before_Sleep,Anxiety_Without_Phone,Checks_Per_Hour,Impact_On_Daily_Life,Time_Without_Checking_Phone_Min,Smartphone_Addiction
USR_01029,24,Male,5.0,High,High,9,Moderate,26,0
USR_01030,22,Female,7.5,Moderate,High,7,High,106,1
USR_01031,33,Male,4.7,Moderate,High,9,Low,207,0
USR_01032,19,Male,7.2,High,None,9,None,229,0
USR_01033,29,Male,3.2,None,None,4,Low,23,0
USR_01034,33,Female,7.6,Low,Low,8,High,71,0
USR_01035,24,Male,6.3,Moderate,High,11,Moderate,236,1
USR_01036,17,Female,5.3,High,Moderate,10,Low,90,0
USR_01037,30,Other,5.8,High,Low,9,High,22,0
USR_01038,22,Male,2.7,Moderate,None,8,Low,113,0
USR_01039,27,Male,5.7,High,Moderate,11,Low,226,0
USR_01040,23,Male,5.2,Moderate,Low,10,High,197,0
USR_01041,30,Female,2.7,Low,None,8,Moderate,216,0
USR_01042,18,Male,4.0,High,Low,7,High,117,0
USR_01043,29,Male,5.2,Low,High,7,High,137,0
USR_01044,32,Male,4.2,High,High,8,Low,208,0
USR_01045,19,Female,0.5,None,Moderate,3,None,143,0
USR_01046,33,Male,7.9,High,Moderate,7,None,220,0
USR_01047,23,Female,5.2,Moderate,High,9,High,62,0
USR_01048,19,Female,0.5,High,High,6,None,22,0
USR_01049,17,Male,10.2,Low,Low,9,Low,76,0
USR_01050,21,Female,8.2,Moderate,Moderate,3,Low,97,0
USR_01051,25,Male,4.7,High,High,9,None,188,0
USR_01052,19,Female,3.6,Moderate,Moderate,9,Moderate,154,-1
USR_01053,33,Female,6.4,High,Moderate,10,High,60,0
USR_01054,27,Female,5.9,Moderate,Low,12,High,198,0
USR_01055,17,Male,6.7,Low,High,5,High,27,0
USR_01056,25,Male,3.7,High,Low,4,Moderate,20,0
USR_01057,19,Male,7.9,High,Moderate,11,High,48,0
USR_01058,29,Male,4.5,High,High,9,Moderate,76,-1
USR_01059,31,Male,7.0,Moderate,Low,7,High,200,0
USR_01060,30,Male,3.7,High,Moderate,8,None,18,0
USR_01061,23,Male,11.3,High,High,7,High,141,1
USR_01062,29,Male,7.0,High,Moderate,4,Moderate,79,0
USR_01063,23,Female,11.8,High,High,12,Moderate,234,0
USR_01064,31,Male,7.3,None,High,14,High,112,1
USR_01065,28,Male,4.3,High,Low,14,Moderate,148,1
USR_01066,33,Male,7.3,Moderate,High,7,Moderate,145,0
USR_01067,30,Male,7.5,Low,None,8,Moderate,40,0
USR_01068,28,Other,6.3,Moderate,Moderate,7,Low,48,0
USR_01069,24,Male,6.9,High,High,5,High,104,1
USR_01070,30,Female,7.2,Moderate,High,6,Low,85,0
USR_01071,28,Other,3.3,Low,Moderate,7,Low,18,0
USR_01072,16,Female,3.2,High,Moderate,4,Low,97,0
USR_01073,22,Female,3.8,High,High,4,High,21,0
USR_01074,24,Female,5.8,High,High,9,High,197,0
USR_01075,16,Other,5.0,High,Low,6,Moderate,216,0
USR_01076,27,Female,3.4,High,High,8,High,101,0
USR_01077,23,Female,7.2,Moderate,Low,8,High,130,0
USR_01078,26,Female,6.1,High,Moderate,8,High,58,1
USR_01079,34,Female,5.9,Moderate,Moderate,6,Moderate,130,1
USR_01080,32,Female,4.9,Moderate,High,10,High,134,0
USR_01081,23,Male,4.7,Moderate,High,8,None,149,0
USR_01082,18,Male,3.6,Moderate,Low,9,Moderate,27,0
USR_01083,18,Male,7.6,High,High,5,High,218,1
USR_01084,16,Male,4.0,None,High,7,Low,133,0
USR_01085,20,Male,6.0,Moderate,Moderate,11,None,16,0
USR_01086,25,Male,9.2,Moderate,High,11,High,145,0
USR_01087,22,Female,4.8,Low,Moderate,5,High,210,0
USR_01088,24,Male,7.6,High,Low,6,High,206,0
USR_01089,22,Female,6.8,High,Moderate,8,Low,16,0
USR_01090,24,Male,6.2,Moderate,None,10,High,61,0
USR_01091,23,Male,6.4,Moderate,Low,10,Low,90,0
USR_01092,27,Female,5.3,Low,High,9,Low,22,1
USR_01093,17,Female,5.6,None,Moderate,8,Moderate,107,0
USR_01094,16,Male,4.3,High,Moderate,10,Moderate,87,0
USR_01095,31,Female,5.6,High,Moderate,4,Moderate,98,0
USR_01096,20,Female,4.2,High,High,10,High,147,0
USR_01097,18,Male,7.7,High,None,7,Moderate,171,0
USR_01098,27,Male,1.8,Low,Moderate,1,Moderate,82,0
USR_01099,23,Other,6.6,Low,Moderate,12,Low,77,0
USR_01100,18,Female,6.2,Moderate,Moderate,9,Low,201,1
USR_01101,16,Female,6.0,High,Moderate,8,High,165,0
USR_01102,18,Female,7.8,High,Low,6,High,180,0
USR_01103,20,Male,4.9,High,Moderate,7,Low,137,0
USR_01104,30,Male,6.1,Low,High,9,None,92,0
USR_01105,29,Male,1.7,High,High,9,High,12,0
USR_01106,18,Female,4.6,Low,Low,7,Low,151,0
USR_01107,16,Female,7.4,Moderate,Moderate,6,Moderate,184,0
USR_01108,20,Female,2.6,Moderate,None,6,Moderate,16,1
USR_01109,29,Male,5.9,High,High,9,Moderate,76,1
USR_01110,22,Male,4.0,Moderate,High,8,Low,140,0
USR_01111,24,Female,5.3,Moderate,High,6,High,59,1
USR_01112,30,Female,4.1,Low,Moderate,11,Low,234,0
USR_01113,30,Female,2.8,High,Moderate,9,Moderate,216,0
USR_01114,25,Male,6.3,Moderate,High,4,Moderate,126,0
USR_01115,28,Female,5.4,Moderate,Moderate,8,Moderate,97,0
USR_01116,34,Male,6.8,High,Moderate,4,High,237,0
USR_01117,22,Female,7.2,High,High,8,High,166,0
USR_01118,32,Male,8.2,None,Moderate,10,Moderate,86,1
USR_01119,19,Female,5.8,High,Low,4,Moderate,197,0
USR_01120,20,Male,8.3,High,High,8,High,207,0
USR_01121,22,Female,3.4,High,High,7,Moderate,51,0
USR_01122,28,Male,7.5,Moderate,High,2,Low,112,0
USR_01123,30,Male,6.5,High,Low,8,Moderate,39,-1
USR_01124,26,Male,6.0,Moderate,Low,7,Moderate,164,0
USR_01125,19,Male,6.5,High,High,6,Low,183,0
USR_01126,28,Male,3.4,High,High,7,High,110,1
USR_01127,22,Female,2.9,Moderate,Low,8,Moderate,212,0
USR_01128,34,Male,9.3,High,None,10,High,138,1
USR_01129,17,Female,5.1,None,Moderate,7,Moderate,141,0
USR_01130,25,Female,5.1,High,None,5,Moderate,44,1
USR_01131,28,Female,3.1,High,Moderate,11,High,218,0
USR_01132,21,Male,2.2,High,Low,9,High,180,0
USR_01133,27,Male,5.3,High,Moderate,4,High,204,0
USR_01134,27,Female,4.7,None,Moderate,8,Moderate,100,0
USR_01135,26,Other,5.5,Low,High,4,High,158,0
USR_01136,22,Male,5.7,High,Low,7,High,86,1
USR_01137,16,Male,11.0,Moderate,None,8,Low,41,0
USR_01138,16,Male,4.8,Moderate,Moderate,8,High,184,1
USR_01139,28,Other,9.0,High,High,9,Moderate,144,0
USR_01140,24,Male,9.1,High,High,6,None,170,0
USR_01141,18,Male,7.2,None,High,8,Low,230,0
USR_01142,22,Female,5.0,None,High,6,High,200,0
USR_01143,21,Male,2.5,None,Moderate,10,Moderate,20,-1
USR_01144,23,Male,6.6,Low,None,7,Moderate,193,0
USR_01145,24,Female,7.7,Moderate,High,10,None,28,0
USR_01146,20,Female,9.3,High,High,4,Moderate,210,1
USR_01147,16,Male,3.4,High,Moderate,9,Moderate,149,0
USR_01148,34,Male,5.0,High,High,5,Low,119,1
USR_01149,25,Male,3.4,Moderate,Low,6,High,99,0
USR_01150,27,Male,4.1,Low,High,5,Moderate,8,0
USR_01151,30,Female,7.0,Low,High,4,Moderate,54,1
USR_01152,24,Male,4.0,None,High,8,None,112,0
USR_01153,32,Male,3.7,Low,High,5,None,230,0
USR_01154,32,Male,7.3,None,Moderate,9,High,106,0
USR_01155,27,Female,6.5,High,High,3,High,234,0
USR_01156,22,Female,6.3,Low,Moderate,13,High,135,0
USR_01157,17,Female,4.1,Moderate,Moderate,8,High,12,0
USR_01158,18,Male,8.3,High,High,10,Moderate,16,1
USR_01159,32,Female,5.5,None,High,5,Moderate,167,0
USR_01160,20,Female,10.7,Low,Moderate,7,Moderate,70,0
USR_01161,32,Male,5.9,High,Moderate,8,Moderate,185,0
USR_01162,32,Male,0.5,High,None,9,High,97,1
USR_01163,32,Male,0.5,Moderate,High,13,Moderate,219,0
USR_01164,17,Male,6.9,Moderate,High,10,None,165,0
USR_01165,17,Male,8.4,None,High,10,Moderate,118,0
USR_01166,20,Male,3.8,High,Moderate,8,High,22,0
USR_01167,16,Male,10.1,High,Moderate,5,High,108,0
USR_01168,16,Female,9.2,High,Low,10,High,190,0
USR_01169,34,Male,6.0,High,Moderate,8,Low,90,0
USR_01170,17,Female,6.7,High,High,4,High,210,0
USR_01171,27,Female,7.5,None,Moderate,6,Low,97,0
USR_01172,21,Female,9.7,High,None,11,Low,49,1
USR_01173,19,Female,7.0,High,High,10,Moderate,147,0
USR_01174,26,Male,5.9,High,Moderate,11,High,147,-1
USR_01175,32,Female,7.0,High,None,14,Moderate,49,0
USR_01176,21,Male,6.7,Low,Low,5,Low,200,0
USR_01177,20,Male,7.5,Moderate,Low,6,High,104,0
USR_01178,17,Female,2.0,Low,High,6,None,201,0
USR_01179,21,Male,6.2,High,Moderate,8,Moderate,199,0
USR_01180,26,Male,6.5,High,High,10,Moderate,208,0
USR_01181,31,Female,5.3,Moderate,Moderate,7,Moderate,66,0
USR_01182,31,Female,7.2,High,High,6,Moderate,88,1
USR_01183,16,Female,9.7,Low,Low,6,Moderate,176,0
USR_01184,24,Male,5.8,High,Low,6,Moderate,24,0
USR_01185,21,Female,7.0,Moderate,Moderate,3,High,171,0
USR_01186,31,Male,9.0,High,High,7,High,43,1
USR_01187,18,Female,5.9,Moderate,High,4,High,133,1
USR_01188,19,Female,3.5,None,Low,10,Moderate,112,0
USR_01189,34,Female,6.9,Moderate,Moderate,8,Moderate,71,0
USR_01190,18,Female,0.7,Moderate,Moderate,9,Low,51,0
USR_01191,34,Male,0.5,None,High,6,High,205,0
USR_01192,22,Female,6.2,Moderate,Moderate,6,High,122,1
USR_01193,24,Female,0.5,High,Low,8,High,58,1
USR_01194,16,Male,2.6,High,Moderate,9,High,152,-1
USR_01195,23,Female,4.7,Moderate,Moderate,5,High,141,0
USR_01196,22,Male,3.9,Moderate,Low,7,Low,99,0
USR_01197,33,Female,5.2,High,High,5,Moderate,32,0
USR_01198,23,Female,7.9,High,High,9,None,68,1
USR_01199,16,Female,6.0,None,Moderate,12,High,39,1
USR_01200,26,Male,3.7,High,High,12,Low,44,1
USR_01201,33,Female,8.5,High,Low,9,Moderate,129,0
USR_01202,25,Female,2.4,High,Moderate,8,Moderate,106,0
USR_01203,18,Female,6.0,Low,Low,4,Moderate,6,0
USR_01204,22,Male,2.1,High,Moderate,10,Moderate,135,0
USR_01205,31,Male,6.1,Moderate,High,6,Low,18,0
USR_01206,31,Female,4.8,High,High,5,Low,213,0
USR_01207,32,Male,7.9,Moderate,Low,4,Moderate,103,0
USR_01208,17,Female,7.1,Low,High,6,High,72,0
USR_01209,16,Female,4.2,High,Moderate,7,High,51,0
USR_01210,31,Female,3.8,Moderate,Low,7,None,98,0
USR_01211,27,Female,4.8,High,High,6,Moderate,186,0
USR_01212,20,Female,9.6,High,High,10,Low,190,0
USR_01213,20,Male,9.1,Low,Moderate,4,Moderate,194,0
USR_01214,24,Male,3.4,High,Low,8,Low,235,0
USR_01215,24,Male,7.3,Moderate,High,7,High,55,0
USR_01216,18,Male,1.7,High,None,6,High,210,0
USR_01217,34,Female,4.5,High,Moderate,9,Moderate,52,1
USR_01218,31,Female,3.5,High,None,8,Moderate,159,0
USR_01219,31,Female,7.9,Moderate,High,11,High,81,0
USR_01220,18,Female,2.7,Moderate,High,10,Low,187,1
USR_01221,16,Other,6.4,Moderate,Low,7,Moderate,129,0
USR_01222,26,Female,5.5,High,Low,7,None,216,0
USR_01223,32,Female,5.1,High,Moderate,14,High,117,0
USR_01224,23,Female,9.2,Low,Moderate,7,High,181,0
USR_01225,19,Male,9.4,Low,Low,13,None,156,0
USR_01226,21,Male,5.2,High,High,13,Moderate,14,1
USR_01227,23,Male,4.7,Moderate,Moderate,9,Moderate,139,0
USR_01228,18,Female,2.2,High,Low,5,High,120,0
USR_01229,31,Female,5.5,Low,Moderate,5,None,21,1
USR_01230,18,Male,9.8,Low,High,7,Low,26,0
USR_01231,33,Male,5.2,Low,Low,12,Low,63,1
USR_01232,29,Female,7.1,Low,High,13,None,48,0
USR_01233,33,Male,2.4,High,High,8,Moderate,15,0
USR_01234,17,Male,4.5,Low,None,6,Moderate,46,0
USR_01235,18,Female,6.5,Moderate,Moderate,6,Moderate,27,0
USR_01236,31,Male,5.7,High,Low,7,Low,122,1
USR_01237,24,Male,7.3,Moderate,Low,7,Low,192,0
USR_01238,19,Female,4.2,None,High,6,Moderate,218,0
USR_01239,16,Female,1.7,Low,High,7,High,236,1
USR_01240,19,Female,8.0,High,High,4,Low,66,1
USR_01241,16,Male,3.4,Moderate,High,9,Moderate,115,0
USR_01242,29,Male,6.6,Low,Moderate,7,High,58,0
USR_01243,31,Male,6.5,High,Moderate,4,Moderate,86,0
USR_01244,23,Female,1.8,Moderate,Moderate,14,None,123,0
USR_01245,22,Female,7.8,Moderate,High,8,High,113,0
USR_01246,18,Male,4.3,High,Moderate,8,High,222,0
USR_01247,32,Female,5.6,High,Moderate,13,High,116,1
USR_01248,16,Male,4.7,Moderate,Moderate,9,High,226,0
USR_01249,31,Male,9.1,None,High,10,High,17,1
USR_01250,27,Male,8.5,Moderate,Moderate,9,Low,72,0
USR_01251,34,Male,1.5,Low,High,7,High,111,0
USR_01252,29,Female,10.5,High,High,10,Low,31,0
USR_01253,21,Female,4.0,High,Moderate,10,High,119,0
USR_01254,21,Male,10.1,Moderate,High,5,None,172,0
USR_01255,28,Female,4.9,High,Moderate,8,High,78,0
USR_01256,34,Male,4.7,Low,High,3,Moderate,96,0
USR_01257,23,Female,5.0,High,High,4,High,89,0
USR_01258,17,Female,4.6,High,High,10,Moderate,120,0
USR_01259,16,Male,11.1,High,None,6,High,79,1
USR_01260,30,Female,5.3,None,Moderate,10,Moderate,88,0
USR_01261,16,Male,4.8,High,None,9,High,232,0
USR_01262,20,Male,5.7,High,Moderate,7,Low,87,0
USR_01263,31,Male,3.4,High,Moderate,7,High,142,0
USR_01264,34,Female,9.0,Low,Moderate,5,High,19,0
USR_01265,19,Female,2.3,High,High,11,High,49,0
USR_01266,18,Male,4.1,High,High,8,Moderate,185,0
USR_01267,32,Female,7.6,High,High,3,High,86,1
USR_01268,32,Female,5.6,Moderate,Moderate,5,High,11,1
USR_01269,27,Female,6.7,High,High,10,Moderate,162,0
USR_01270,29,Female,8.9,High,High,11,High,82,1
USR_01271,21,Female,7.7,High,High,7,Low,233,1
USR_01272,18,Male,5.8,Moderate,Moderate,5,High,237,1
USR_01273,24,Male,10.1,Moderate,Moderate,9,Moderate,34,0
USR_01274,20,Other,4.1,Moderate,Low,1,None,122,0
USR_01275,32,Male,5.3,None,High,7,High,159,1
USR_01276,29,Other,5.4,None,High,8,High,53,0
USR_01277,18,Female,5.3,High,High,8,Low,189,0
USR_01278,16,Male,3.1,Low,Low,17,Moderate,196,0
USR_01279,16,Male,2.0,Moderate,High,10,Moderate,105,0
USR_01280,18,Male,6.4,Low,Moderate,9,Moderate,195,0
USR_01281,33,Female,4.1,High,Moderate,10,High,180,0
USR_01282,25,Male,9.7,Moderate,High,6,Low,173,-1
USR_01283,18,Male,5.3,High,High,11,Low,85,0
USR_01284,23,Male,4.9,Low,High,11,Moderate,34,0
USR_01285,29,Male,7.9,High,Low,7,None,214,0
USR_01286,33,Female,6.4,High,Moderate,8,Moderate,7,0
USR_01287,30,Male,5.1,High,Moderate,8,Moderate,224,0
USR_01288,17,Female,4.1,High,Moderate,5,None,41,0
USR_01289,25,Male,13.5,Moderate,Moderate,4,High,34,0
USR_01290,17,Male,6.3,High,Moderate,6,High,58,0
USR_01291,32,Male,7.9,High,High,12,High,217,0
USR_01292,23,Male,3.2,None,High,9,None,117,0
USR_01293,16,Other,4.2,High,High,11,Moderate,216,0
USR_01294,24,Female,10.1,Moderate,Moderate,7,High,90,0
USR_01295,26,Male,8.6,High,High,8,High,232,1
USR_01296,31,Female,6.5,High,Moderate,6,High,104,0
USR_01297,22,Male,4.7,Low,High,3,High,89,1
USR_01298,25,Male,5.0,Low,None,5,None,220,0
USR_01299,18,Other,4.0,High,High,4,Low,217,0
USR_01300,33,Female,3.0,None,High,7,None,139,0
USR_01301,28,Other,7.5,None,None,10,Moderate,12,0
USR_01302,22,Male,6.7,None,Moderate,7,Moderate,218,0
USR_01303,19,Female,7.1,High,None,12,Moderate,90,0
USR_01304,28,Male,4.8,High,High,9,Low,67,0
USR_01305,16,Male,6.1,Moderate,High,5,None,195,0
USR_01306,23,Female,4.5,Moderate,Moderate,2,None,196,0
USR_01307,29,Male,3.9,High,Low,10,Moderate,162,1
USR_01308,31,Female,9.2,Low,High,8,High,230,0
USR_01309,29,Female,5.8,High,None,7,Moderate,97,0
USR_01310,27,Male,6.6,Moderate,Moderate,11,High,142,0
USR_01311,34,Female,7.3,High,Low,9,High,201,0
USR_01312,30,Female,5.8,Moderate,Moderate,13,High,53,1
USR_01313,17,Male,6.0,High,High,10,Moderate,125,0
USR_01314,17,Female,3.1,Low,None,9,Moderate,43,0
USR_01315,34,Female,3.5,Moderate,None,7,High,38,1
USR_01316,32,Male,3.4,Low,Moderate,9,Moderate,106,0
USR_01317,25,Female,6.8,None,High,3,High,14,1
USR_01318,21,Other,5.7,Moderate,High,8,Moderate,13,1
USR_01319,30,Male,3.5,None,Moderate,4,Moderate,192,0
USR_01320,26,Female,6.8,High,High,14,High,100,0
USR_01321,20,Male,6.7,High,Moderate,9,Low,137,0
USR_01322,16,Female,4.0,High,High,8,Moderate,167,0
USR_01323,23,Female,5.4,High,Moderate,9,Moderate,143,0
USR_01324,27,Male,6.7,Low,High,7,Moderate,46,0
USR_01325,27,Male,3.6,High,Moderate,9,Moderate,84,0
USR_01326,20,Female,6.7,Moderate,Moderate,10,High,95,1
USR_01327,22,Male,6.2,Moderate,Moderate,7,Low,152,0
USR_01328,19,Female,3.3,Moderate,Moderate,9,Moderate,183,0
USR_01329,21,Male,6.0,Moderate,High,3,High,5,1
USR_01330,28,Female,6.3,Low,Moderate,8,Moderate,222,0
USR_01331,30,Female,4.1,High,Low,4,Moderate,15,1
USR_01332,18,Female,4.3,High,Moderate,12,High,65,0
USR_01333,23,Male,3.3,Moderate,None,7,Low,83,0
USR_01334,31,Female,4.5,Moderate,Moderate,10,Moderate,171,1
USR_01335,28,Female,5.5,High,Low,6,High,108,0
USR_01336,33,Male,4.3,Low,High,14,Moderate,52,0
USR_01337,25,Male,2.2,High,Moderate,6,Moderate,86,0
USR_01338,34,Male,4.0,High,Moderate,10,High,220,0
USR_01339,32,Female,4.6,High,High,10,Low,32,-1
USR_01340,34,Female,7.3,Moderate,Moderate,8,Low,93,0
USR_01341,20,Male,6.8,Moderate,High,11,Low,219,0
USR_01342,24,Female,7.3,High,Moderate,9,Moderate,79,1
USR_01343,27,Male,3.9,High,Moderate,9,Low,229,1
USR_01344,16,Male,5.8,Low,Moderate,5,Low,84,0
USR_01345,16,Other,0.5,High,None,5,None,40,0
USR_01346,30,Female,6.4,High,Moderate,4,None,91,1
USR_01347,17,Female,6.8,Moderate,High,9,Moderate,74,1
USR_01348,31,Male,4.7,High,High,5,High,111,-1
USR_01349,23,Female,6.1,Low,Low,10,High,194,1
USR_01350,28,Female,2.2,High,Moderate,5,Moderate,220,0
USR_01351,16,Male,3.7,Moderate,Moderate,9,Low,234,1
USR_01352,31,Female,7.2,Moderate,High,6,Low,110,1
USR_01353,22,Female,6.6,Low,Moderate,5,Low,74,0
USR_01354,20,Female,4.6,High,High,4,Moderate,14,0
USR_01355,18,Male,7.3,Moderate,Low,6,High,218,0
USR_01356,27,Female,5.8,Moderate,Low,5,High,219,0
USR_01357,31,Female,4.4,Moderate,Moderate,6,Moderate,9,1
USR_01358,34,Male,5.1,Moderate,Low,7,Low,32,0
USR_01359,20,Female,4.5,Moderate,Moderate,4,Low,63,1
USR_01360,29,Female,2.9,None,Moderate,5,Moderate,141,0
USR_01361,20,Male,8.3,High,Moderate,7,None,171,0
USR_01362,30,Male,4.3,High,Moderate,7,High,96,0
USR_01363,32,Female,3.7,Low,High,7,Moderate,66,0
USR_01364,29,Female,2.1,High,High,9,High,93,0
USR_01365,20,Female,0.5,None,Moderate,13,High,111,0
USR_01366,27,Male,7.0,Moderate,Moderate,7,None,42,0
USR_01367,31,Other,7.2,Moderate,High,7,Low,223,0
USR_01368,31,Male,8.1,High,Moderate,5,High,156,1
USR_01369,22,Male,5.2,High,High,5,High,196,0
USR_01370,19,Female,4.8,Moderate,High,7,High,125,0
USR_01371,16,Male,4.4,None,Low,5,High,239,1
USR_01372,20,Male,4.6,None,Moderate,8,Moderate,175,0
USR_01373,25,Male,8.0,High,Moderate,12,Moderate,114,0
USR_01374,20,Male,5.4,High,Moderate,7,Moderate,148,1
USR_01375,19,Male,6.3,High,None,8,High,70,0
USR_01376,17,Other,4.5,Low,Moderate,11,High,70,0
USR_01377,25,Male,8.4,High,High,8,Moderate,201,0
USR_01378,34,Female,1.3,High,High,10,Low,50,0
USR_01379,16,Female,2.8,High,High,6,None,153,0
USR_01380,20,Female,6.3,High,None,9,High,64,1
USR_01381,28,Male,9.4,None,High,8,High,142,1
USR_01382,19,Female,5.0,Moderate,Moderate,7,High,238,0
USR_01383,31,Female,3.6,High,High,7,High,150,0
USR_01384,31,Female,7.7,High,Low,3,High,94,0
USR_01385,17,Female,6.2,High,High,8,None,216,0
USR_01386,32,Female,8.3,High,None,8,Low,173,0
USR_01387,27,Male,2.7,High,High,8,High,168,1
USR_01388,33,Female,8.2,Moderate,High,10,Moderate,117,0
USR_01389,18,Female,2.1,High,High,5,High,89,0
USR_01390,16,Female,4.9,High,Low,6,High,70,0
USR_01391,16,Other,6.4,High,Low,9,Moderate,50,0
USR_01392,34,Male,5.9,Low,High,11,Moderate,122,0
USR_01393,26,Other,7.8,Moderate,High,11,Moderate,229,0
USR_01394,20,Male,1.5,Moderate,Low,6,Low,155,0
USR_01395,27,Male,5.8,Moderate,High,10,Moderate,171,0
USR_01396,18,Male,8.1,Moderate,High,8,High,99,1
USR_01397,16,Male,5.6,High,High,17,Moderate,8,0
USR_01398,16,Female,3.0,None,High,8,High,173,0
USR_01399,23,Male,7.7,High,High,9,Moderate,7,1
USR_01400,25,Male,4.1,High,High,5,Moderate,233,1
USR_01401,26,Female,3.7,Low,High,10,Low,185,0
USR_01402,27,Female,3.4,High,Low,9,Low,124,0
USR_01403,28,Female,5.1,None,High,5,Low,78,0
USR_01404,27,Female,5.9,Moderate,Moderate,4,Moderate,110,0
USR_01405,29,Female,2.7,Low,High,8,Moderate,100,-1
USR_01406,17,Male,3.2,Low,Moderate,8,Low,40,0
USR_01407,34,Male,4.0,None,High,2,High,181,0
USR_01408,33,Female,3.4,None,Low,6,High,31,0
USR_01409,18,Male,5.6,Low,High,7,High,57,0
USR_01410,32,Female,6.3,Moderate,Low,7,Moderate,53,0
USR_01411,23,Male,6.0,High,High,6,Low,215,0
USR_01412,25,Male,6.0,High,High,7,High,106,0
USR_01413,17,Female,9.2,Moderate,None,12,Low,5,0
USR_01414,34,Female,6.4,None,Moderate,5,Moderate,222,0
USR_01415,24,Female,7.2,Moderate,High,11,None,178,0
USR_01416,22,Female,4.6,None,None,6,Moderate,66,0
USR_01417,19,Male,7.6,Low,High,10,None,209,0
USR_01418,33,Male,4.5,High,High,11,High,103,1
USR_01419,28,Female,6.4,High,None,3,None,70,0
USR_01420,26,Female,2.5,High,High,8,Moderate,154,0
USR_01421,19,Male,5.9,High,Low,5,Moderate,171,-1
USR_01422,19,Female,3.4,Moderate,High,11,High,224,0
USR_01423,25,Male,7.6,None,Low,6,Low,48,0
USR_01424,20,Male,7.4,Low,Moderate,8,None,6,0
USR_01425,24,Male,4.5,High,None,4,Low,207,0
USR_01426,18,Female,10.0,High,Moderate,12,Moderate,63,0
USR_01427,32,Female,4.9,High,High,9,Moderate,233,0
USR_01428,18,Male,2.0,Moderate,Moderate,8,High,222,0
USR_01429,31,Female,3.8,High,High,2,Moderate,160,0
USR_01430,19,Male,3.2,High,Low,4,High,222,0
USR_01431,33,Male,6.3,High,Low,8,Low,213,0
USR_01432,32,Male,2.8,High,Moderate,5,Low,199,0
USR_01433,22,Male,4.3,None,Low,4,None,18,0
USR_01434,20,Male,6.2,High,High,12,Moderate,20,1
USR_01435,27,Female,5.8,High,Moderate,4,Moderate,55,0
USR_01436,32,Female,5.5,High,Moderate,6,Moderate,104,0
USR_01437,28,Female,5.8,High,Moderate,8,Moderate,32,1
USR_01438,18,Male,4.7,Moderate,High,8,High,224,0
USR_01439,24,Male,2.0,Moderate,Low,6,Low,57,0
USR_01440,32,Male,4.6,Moderate,High,12,High,56,0
USR_01441,32,Male,6.5,Moderate,Moderate,9,Moderate,120,0
USR_01442,31,Female,5.2,High,High,9,Low,157,0
USR_01443,28,Male,6.4,Moderate,Low,14,None,189,0
USR_01444,34,Female,4.2,High,High,10,Low,13,0
USR_01445,32,Female,7.7,High,Moderate,4,High,15,0
USR_01446,19,Male,0.5,Low,High,7,Moderate,233,0
USR_01447,27,Female,5.8,Low,Moderate,11,High,111,-1
USR_01448,24,Female,8.5,Moderate,High,11,None,49,1
USR_01449,34,Female,8.8,High,Moderate,8,High,89,0
USR_01450,27,Female,5.0,High,High,5,None,6,0
USR_01451,24,Male,2.6,None,Low,6,None,186,0
USR_01452,22,Male,8.5,High,High,7,Low,166,0
