log_id,user_id,log_date,screen_time,unlocks,day_type
500087,3040,2025-12-03,4.3,78,Weekday
500088,1243,2025-12-30,6.2,63,Weekday
500089,1165,2025-12-17,6.3,77,Weekday
500090,2049,2026-02-08,8.2,61,Weekend
500091,2497,2026-02-09,7.2,70,Weekday
500092,1727,2026-02-21,7.1,67,Weekend
500093,2115,2026-02-16,9.0,67,Weekday
500094,1482,2026-01-05,3.5,52,Weekday
500095,3447,2026-01-28,5.0,74,Weekday
500096,2230,2025-12-05,5.5,64,Weekday
500097,3148,2025-12-09,6.5,61,Weekday
500098,1879,2026-01-03,9.1,65,Weekend
500099,1829,2026-01-24,7.3,57,Weekend
500100,3024,2026-02-14,9.9,61,Weekend
500101,1758,2025-12-08,11.1,64,Weekday
500102,1162,2025-12-26,5.5,58,Weekday
500103,2196,2025-12-20,1.9,52,Weekend
500104,2307,2026-01-28,10.1,73,Weekday
500105,3428,2026-01-30,6.2,73,Weekday
500106,2995,2026-02-06,6.1,64,Weekday
500107,2934,2026-01-06,8.6,64,Weekday
500108,2556,2026-02-04,6.5,63,Weekday
500109,1306,2026-01-29,6.5,57,Weekday
500110,2362,2025-12-12,6.8,61,Weekday
500111,3102,2026-01-16,4.2,80,Weekday
500112,1332,2026-02-10,4.6,70,Weekday
500113,3174,2026-02-17,9.7,63,Weekday
500114,1242,2026-02-24,9.7,67,Weekday
500115,2884,2025-12-07,6.9,77,Weekend
500116,2432,2025-12-08,6.2,68,Weekday
500117,1302,2026-01-31,8.6,79,Weekend
500118,1234,2026-01-30,6.0,52,Weekday
500119,3186,2026-01-01,7.2,66,Weekday
500120,1194,2025-12-24,12.1,58,Weekday
500121,2550,2025-12-02,11.0,67,Weekday
500122,2792,2026-01-11,3.3,65,Weekend
500123,1646,2026-03-01,7.3,80,Weekend
500124,3048,2026-01-06,3.6,64,Weekday
500125,1560,2026-01-27,8.8,63,Weekday
500126,2119,2026-01-05,4.0,53,Weekday
500127,1712,2026-01-20,11.2,70,Weekday
500128,1412,2026-01-23,3.4,65,Weekday
500129,1537,2026-02-06,3.8,60,Weekday
500130,2878,2026-02-23,3.2,61,Weekday
500131,3476,2026-01-22,5.0,67,Weekday
500132,1234,2026-01-12,7.9,71,Weekday
500133,3396,2025-12-22,9.7,60,Weekday
500134,2779,2025-12-31,4.4,70,Weekday
500135,2893,2026-02-02,8.9,58,Weekday
500136,2504,2026-01-08,5.8,71,Weekday
500137,2862,2026-01-12,2.9,59,Weekday
500138,3443,2025-12-27,9.5,61,Weekend
500139,2374,2025-12-07,5.8,73,Weekend
500140,1415,2026-02-26,5.2,62,Weekday
500141,2909,2025-12-08,11.5,56,Weekday
500142,1915,2025-12-21,9.0,67,Weekend
500143,1080,2026-02-14,13.7,70,Weekend
500144,3083,2025-12-07,6.1,66,Weekend
500145,2090,2026-02-23,7.6,60,Weekday
500146,2690,2026-01-20,3.7,63,Weekday
500147,1756,2025-12-28,9.1,57,Weekend
500148,1467,2026-02-19,5.1,65,Weekday
500149,2165,2026-01-18,3.5,74,Weekend
500150,3403,2026-01-03,4.7,55,Weekend
500151,2494,2026-02-18,7.0,62,Weekday
500152,2644,2026-02-24,13.9,57,Weekday
500153,2019,2026-01-24,7.2,52,Weekend
500154,2614,2025-12-02,6.1,64,Weekday
500155,1901,2025-12-27,8.8,69,Weekend
500156,1672,2026-02-20,7.3,58,Weekday
500157,1438,2026-02-03,2.3,65,Weekday
500158,1126,2026-01-30,7.6,69,Weekday
500159,3252,2025-12-16,10.4,69,Weekday
500160,3076,2025-12-23,6.2,63,Weekday
500161,1444,2025-12-27,7.5,71,Weekend
500162,1965,2025-12-10,7.3,70,Weekday
500163,1463,2026-01-03,9.8,51,Weekend
500164,3198,2026-01-30,5.4,74,Weekday
500165,3287,2026-01-29,6.1,58,Weekday
500166,3313,2025-12-12,7.4,55,Weekday
500167,1912,2025-12-20,5.3,64,Weekend
500168,1496,2025-12-22,4.5,65,Weekday
500169,2463,2026-01-12,8.6,64,Weekday
500170,2771,2025-12-03,9.6,50,Weekday
500171,1157,2025-12-12,5.1,64,Weekday
500172,1171,2026-01-21,5.5,73,Weekday
500173,1493,2026-02-02,6.8,55,Weekday
500174,1969,2025-12-05,8.4,75,Weekday
500175,2334,2025-12-09,5.8,73,Weekday
500176,2426,2026-01-17,5.5,78,Weekend
500177,2692,2025-12-10,8.1,80,Weekday
500178,2793,2026-01-12,3.9,58,Weekday
500179,1658,2026-01-12,6.0,65,Weekday
500180,1665,2025-12-02,0.5,68,Weekday
500181,1366,2026-02-28,7.0,58,Weekend
500182,1549,2025-12-06,7.0,66,Weekend
500183,1642,2026-02-17,7.4,67,Weekday
500184,2893,2026-02-12,0.8,60,Weekday
500185,1254,2026-02-01,4.7,72,Weekend
500186,1207,2025-12-18,8.7,50,Weekday
500187,3497,2026-01-05,13.3,67,Weekday
500188,1094,2026-02-03,8.4,80,Weekday
500189,2883,2026-03-01,12.3,71,Weekend
500190,1477,2026-01-04,10.7,62,Weekend
500191,1761,2026-01-19,7.6,54,Weekday
500192,1189,2026-02-09,9.6,50,Weekday
500193,2507,2026-02-08,11.9,47,Weekend
500194,2756,2025-12-13,7.0,61,Weekend
500195,2559,2025-12-15,3.7,69,Weekday
500196,1755,2025-12-11,8.1,50,Weekday
500197,2446,2025-12-31,6.2,82,Weekday
500198,1835,2026-02-14,5.5,73,Weekend
500199,2663,2026-02-15,7.0,55,Weekend
500200,2628,2026-01-10,4.8,62,Weekend
500201,2835,2025-12-28,5.5,65,Weekend
500202,1132,2026-02-04,5.2,67,Weekday
500203,1054,2026-01-31,5.5,55,Weekend
500204,1509,2026-01-23,5.5,71,Weekday
500205,1669,2025-12-21,10.7,66,Weekend
500206,3457,2025-12-25,3.4,57,Weekday
500207,2689,2025-12-28,9.8,67,Weekend
500208,2316,2026-02-13,12.9,65,Weekday
500209,1733,2026-01-04,4.0,72,Weekend
500210,2693,2025-12-24,6.6,70,Weekday
500211,1258,2025-12-17,6.5,59,Weekday
500212,2145,2026-01-20,2.1,56,Weekday
500213,1298,2025-12-25,8.2,64,Weekday
500214,1560,2026-02-03,7.7,53,Weekday
500215,2912,2026-01-29,9.9,53,Weekday
500216,2864,2026-01-07,8.0,63,Weekday
500217,1296,2026-02-15,7.3,67,Weekend
500218,3409,2026-01-27,4.9,58,Weekday
500219,2461,2025-12-12,1.7,71,Weekday
500220,3174,2025-12-29,8.5,60,Weekday
500221,1196,2026-02-14,11.1,80,Weekend
500222,3268,2025-12-23,2.8,72,Weekday
500223,1994,2025-12-09,8.8,65,Weekday
500224,3138,2026-01-28,6.6,61,Weekday
500225,3458,2025-12-04,4.1,58,Weekday
500226,1007,2025-12-20,11.0,68,Weekend
500227,1319,2026-02-25,7.6,76,Weekday
500228,2417,2026-02-06,7.5,60,Weekday
500229,3316,2025-12-23,2.6,49,Weekday
500230,2698,2025-12-14,11.4,68,Weekend
500231,3108,2026-01-03,4.8,65,Weekend
500232,2461,2025-12-16,7.7,56,Weekday
500233,2287,2026-02-08,9.6,77,Weekend
500234,2118,2025-12-12,7.8,65,Weekday
500235,1552,2026-01-04,9.2,64,Weekend
500236,1660,2026-01-31,9.7,79,Weekend
500237,1715,2026-02-06,13.4,65,Weekday
500238,3241,2026-01-18,3.2,56,Weekend
500239,2458,2025-12-02,6.8,60,Weekday
500240,1854,2025-12-23,11.1,69,Weekday
500241,3259,2026-01-23,6.7,63,Weekday
500242,1664,2026-01-12,0.6,61,Weekday
500243,2897,2026-01-02,10.8,63,Weekday
500244,2674,2026-01-04,7.2,64,Weekend
500245,3268,2025-12-12,4.0,78,Weekday
500246,1272,2025-12-09,7.5,60,Weekday
500247,2177,2026-02-18,8.3,52,Weekday
500248,2272,2025-12-15,4.5,66,Weekday
500249,1278,2026-01-08,6.5,66,Weekday
500250,1815,2026-02-01,8.6,63,Weekend
500251,1275,2025-12-30,4.2,50,Weekday
500252,2004,2026-02-12,8.9,56,Weekday
500253,1922,2025-12-21,11.6,53,Weekend
500254,1641,2026-01-15,1.6,64,Weekday
500255,1504,2026-02-03,7.3,54,Weekday
500256,1771,2025-12-16,8.1,72,Weekday
500257,2264,2026-02-14,7.2,70,Weekend
500258,2259,2026-01-01,9.1,64,Weekday
500259,2013,2025-12-26,7.7,62,Weekday
500260,1127,2026-02-14,9.5,65,Weekend
500261,2223,2025-12-03,9.1,61,Weekday
500262,2525,2026-01-11,4.0,65,Weekend
500263,2673,2026-02-11,2.6,55,Weekday
500264,1491,2025-12-03,3.3,69,Weekday
500265,2257,2026-01-23,11.4,48,Weekday
500266,2666,2026-02-05,4.9,55,Weekday
500267,1415,2026-02-11,7.2,69,Weekday
500268,3195,2026-01-03,9.5,54,Weekend
500269,1969,2026-02-27,6.5,61,Weekday
500270,3076,2025-12-26,9.0,61,Weekday
500271,2384,2025-12-02,8.7,62,Weekday
500272,1307,2026-03-01,5.0,78,Weekend
500273,3209,2025-12-22,3.5,50,Weekday
500274,1060,2026-02-26,9.3,65,Weekday
500275,3172,2026-01-22,8.1,61,Weekday
500276,2479,2026-01-30,5.2,59,Weekday
500277,2930,2026-01-18,9.8,65,Weekend
500278,3290,2026-02-06,6.4,47,Weekday
500279,2513,2025-12-06,7.6,55,Weekend
500280,1472,2025-12-28,7.7,62,Weekend
500281,1958,2025-12-29,5.6,69,Weekday
500282,1532,2025-12-15,4.3,56,Weekday
500283,1493,2025-12-07,10.8,68,Weekend
500284,1081,2025-12-15,11.3,67,Weekday
500285,1878,2025-12-20,4.6,56,Weekend
500286,2545,2025-12-02,6.3,60,Weekday
500287,1011,2026-02-01,8.7,66,Weekend
500288,2286,2025-12-30,8.0,64,Weekday
500289,1448,2026-01-10,11.2,73,Weekend
500290,1761,2025-12-08,8.3,71,Weekday
500291,1025,2026-02-23,7.6,69,Weekday
500292,2806,2026-01-14,1.8,73,Weekday
500293,2568,2026-02-13,1.7,52,Weekday
500294,1061,2026-02-09,5.1,68,Weekday
500295,1228,2025-12-14,5.6,68,Weekend
500296,2838,2026-02-16,7.2,65,Weekday
500297,1606,2026-02-11,9.4,77,Weekday
500298,2058,2025-12-18,6.5,70,Weekday
500299,2728,2025-12-23,5.4,67,Weekday
500300,2479,2026-02-21,8.5,65,Weekend
500301,2525,2025-12-06,5.9,63,Weekend
500302,1760,2025-12-10,8.0,75,Weekday
500303,1594,2026-02-20,4.0,57,Weekday
500304,2592,2026-02-09,7.9,68,Weekday
500305,2055,2026-01-23,5.3,69,Weekday
500306,2854,2026-02-08,9.2,63,Weekend
500307,3048,2026-01-01,6.2,67,Weekday
500308,2458,2026-01-16,6.3,62,Weekday
500309,2861,2025-12-04,4.7,55,Weekday
500310,2159,2025-12-19,10.0,52,Weekday
500311,2219,2026-01-25,7.6,76,Weekend
500312,1132,2025-12-20,11.4,59,Weekend
500313,1085,2026-02-01,7.4,65,Weekend
500314,2499,2025-12-15,2.8,71,Weekday
500315,2830,2026-02-22,9.2,60,Weekend
500316,2203,2025-12-19,9.9,50,Weekday
500317,1174,2026-01-31,5.9,74,Weekend
500318,2975,2026-02-07,3.6,80,Weekend
500319,1577,2026-01-10,12.0,65,Weekend
500320,2798,2026-01-31,7.4,62,Weekend
500321,3096,2026-01-14,9.8,58,Weekday
500322,1144,2026-01-08,5.1,70,Weekday
500323,1761,2026-01-11,7.6,68,Weekend
500324,2377,2025-12-04,6.5,67,Weekday
500325,2825,2025-12-15,6.3,52,Weekday
500326,1928,2025-12-21,7.6,75,Weekend
500327,1793,2026-02-18,0.5,53,Weekday
500328,2601,2025-12-29,9.2,62,Weekday
500329,2660,2026-02-15,9.2,76,Weekend
500330,1318,2026-01-25,5.2,63,Weekend
500331,2110,2026-01-06,8.1,56,Weekday
500332,2576,2026-02-06,10.9,77,Weekday
500333,1697,2026-01-06,5.5,73,Weekday
500334,1846,2026-02-08,7.2,66,Weekend
500335,2801,2026-01-09,5.2,66,Weekday
500336,1782,2025-12-15,2.5,57,Weekday
500337,3089,2025-12-18,5.9,79,Weekday
500338,2116,2025-12-09,5.3,54,Weekday
500339,2750,2025-12-14,8.1,55,Weekend
500340,2649,2026-02-11,10.2,49,Weekday
500341,1291,2026-01-26,7.7,65,Weekday
500342,1968,2026-01-11,6.0,67,Weekend
500343,2487,2026-01-22,5.1,59,Weekday
500344,2842,2026-01-21,9.9,66,Weekday
500345,1096,2026-02-16,9.8,66,Weekday
500346,2118,2025-12-18,5.9,68,Weekday
500347,1073,2025-12-26,7.6,81,Weekday
500348,2359,2026-02-14,7.8,73,Weekend
500349,2091,2026-01-31,4.8,52,Weekend
500350,1757,2026-01-04,6.5,71,Weekend
500351,2941,2026-01-15,4.5,70,Weekday
500352,1207,2025-12-30,11.1,63,Weekday
500353,2244,2025-12-13,4.0,65,Weekend
500354,2285,2026-01-10,5.1,48,Weekend
500355,1409,2026-01-11,8.5,54,Weekend
500356,3378,2026-02-05,6.8,71,Weekday
500357,3391,2026-02-10,6.4,66,Weekday
500358,1770,2026-01-25,10.2,83,Weekend
500359,2843,2026-01-21,7.8,49,Weekday
500360,1073,2026-02-15,6.3,56,Weekend
500361,2660,2026-02-19,5.6,72,Weekday
500362,1253,2026-01-01,4.6,64,Weekday
500363,1819,2026-02-23,4.8,66,Weekday
500364,1985,2026-02-18,5.7,66,Weekday
500365,1331,2025-12-15,5.6,60,Weekday
500366,2421,2026-01-28,4.7,74,Weekday
500367,1835,2025-12-10,9.1,67,Weekday
500368,2691,2026-02-20,9.2,56,Weekday
500369,1454,2026-02-22,4.3,71,Weekend
500370,2929,2026-02-26,9.8,79,Weekday
500371,2138,2026-01-16,5.1,76,Weekday
500372,1312,2026-01-01,2.4,55,Weekday
500373,2017,2026-01-04,3.9,65,Weekend
500374,1227,2026-01-13,9.5,73,Weekday
500375,1857,2025-12-20,10.1,67,Weekend
500376,2268,2026-01-06,5.4,76,Weekday
500377,2017,2025-12-02,8.6,67,Weekday
500378,1949,2026-02-03,6.2,62,Weekday
500379,1426,2026-02-28,12.9,60,Weekend
500380,3089,2025-12-16,1.1,73,Weekday
500381,1464,2026-02-22,8.2,64,Weekend
500382,2645,2026-02-24,7.9,69,Weekday
500383,1277,2026-01-04,12.2,64,Weekend
500384,1018,2026-01-26,8.9,60,Weekday
500385,1065,2026-01-07,1.7,70,Weekday
500386,1166,2026-02-21,5.8,50,Weekend
500387,2608,2026-01-24,8.2,65,Weekend
500388,1402,2026-01-18,4.8,76,Weekend
500389,1408,2025-12-07,6.4,62,Weekend
500390,3159,2025-12-12,5.8,55,Weekday
500391,1596,2026-01-24,5.4,70,Weekend
500392,2062,2025-12-25,6.2,58,Weekday
500393,3152,2025-12-06,6.6,79,Weekend
500394,1323,2026-02-12,9.1,57,Weekday
500395,2982,2025-12-31,5.0,62,Weekday
500396,2437,2026-02-14,6.4,82,Weekend
500397,1428,2026-02-15,8.9,66,Weekend
500398,2084,2025-12-21,8.4,50,Weekend
500399,2635,2026-02-04,2.2,67,Weekday
500400,2377,2026-01-31,4.4,65,Weekend
500401,1392,2026-01-02,5.1,79,Weekday
500402,3251,2025-12-17,5.1,55,Weekday
500403,3305,2026-01-11,6.2,73,Weekend
500404,2540,2026-02-13,3.9,62,Weekday
500405,1445,2025-12-10,0.5,61,Weekday
500406,2203,2026-02-24,4.2,59,Weekday
500407,2023,2026-01-05,9.3,68,Weekday
500408,1341,2026-01-23,6.9,59,Weekday
500409,1132,2026-01-20,5.5,56,Weekday
500410,3490,2026-01-31,7.2,80,Weekend
500411,2859,2025-12-28,7.0,52,Weekend
500412,3300,2025-12-20,14.1,53,Weekend
500413,1264,2026-01-15,8.9,84,Weekday
500414,1092,2026-03-01,6.2,58,Weekend
500415,2685,2025-12-11,9.3,57,Weekday
500416,2434,2025-12-26,9.2,59,Weekday
500417,3185,2026-01-30,6.0,76,Weekday
500418,2231,2025-12-02,9.3,68,Weekday
500419,2001,2026-01-21,10.2,69,Weekday
500420,2660,2026-02-07,6.1,73,Weekend
500421,2596,2026-01-24,3.5,56,Weekend
500422,3354,2026-01-05,9.0,61,Weekday
500423,1265,2026-02-07,6.3,61,Weekend
500424,1645,2026-02-08,7.5,68,Weekend
500425,3365,2026-01-17,8.8,70,Weekend
500426,2136,2026-02-07,10.9,64,Weekend
500427,2401,2026-02-22,5.7,63,Weekend
500428,1453,2025-12-29,5.8,64,Weekday
500429,3238,2026-02-26,7.8,56,Weekday
500430,2914,2026-02-05,3.1,67,Weekday
500431,2463,2025-12-12,5.6,63,Weekday
500432,2210,2026-02-25,8.9,62,Weekday
500433,1830,2026-02-20,7.0,60,Weekday
500434,2390,2025-12-25,9.8,73,Weekday
500435,2112,2026-02-25,5.4,66,Weekday
500436,3234,2026-02-16,10.6,75,Weekday
500437,2969,2026-03-01,7.0,56,Weekend
500438,3179,2026-01-23,6.4,72,Weekday
500439,1871,2026-02-22,9.3,66,Weekend
500440,1634,2026-02-28,3.1,72,Weekend
500441,2399,2026-02-22,5.5,66,Weekend
500442,1690,2025-12-18,7.6,73,Weekday
500443,2865,2026-03-01,8.2,69,Weekend
500444,2057,2026-01-14,0.5,77,Weekday
500445,2955,2026-01-15,4.6,72,Weekday
500446,1581,2025-12-09,6.6,60,Weekday
500447,3218,2026-02-03,6.5,68,Weekday
500448,2389,2025-12-13,8.5,58,Weekend
500449,1783,2026-02-03,5.8,57,Weekday
500450,1180,2025-12-27,3.9,75,Weekend
500451,1018,2025-12-17,8.3,77,Weekday
500452,2249,2026-01-30,3.7,63,Weekday
500453,2616,2026-01-12,5.3,49,Weekday
500454,3222,2026-01-03,4.6,66,Weekend
500455,2245,2026-01-25,5.4,86,Weekend
500456,2638,2025-12-18,1.9,58,Weekday
500457,1053,2026-02-08,5.6,65,Weekend
500458,2426,2025-12-05,9.3,56,Weekday
500459,3396,2026-02-06,6.2,66,Weekday
500460,1442,2026-02-04,0.5,73,Weekday
500461,1579,2026-02-11,2.6,67,Weekday
500462,1281,2025-12-20,3.7,69,Weekend
500463,3407,2025-12-27,6.1,66,Weekend
500464,1822,2026-01-06,2.0,57,Weekday
500465,2669,2026-01-22,8.1,54,Weekday
500466,1640,2025-12-02,11.2,58,Weekday
500467,2031,2026-02-20,9.9,54,Weekday
500468,3016,2026-01-08,8.4,62,Weekday
500469,1562,2025-12-15,9.3,64,Weekday
500470,1340,2026-01-15,10.6,70,Weekday
500471,1471,2025-12-23,8.4,71,Weekday
500472,2710,2026-01-06,3.3,54,Weekday
500473,3296,2025-12-12,10.4,55,Weekday
500474,1234,2026-02-21,7.7,81,Weekend
500475,2106,2025-12-05,5.5,69,Weekday
500476,2116,2026-01-22,8.1,58,Weekday
500477,2908,2026-01-12,5.8,71,Weekday
500478,2417,2026-02-18,5.5,65,Weekday
500479,1823,2025-12-15,11.9,69,Weekday
500480,2291,2025-12-15,1.5,49,Weekday
500481,1631,2026-01-17,6.3,53,Weekend
500482,1528,2026-02-24,4.3,75,Weekday
500483,2980,2026-02-20,4.3,57,Weekday
500484,3169,2026-02-06,3.0,52,Weekday
500485,3057,2025-12-21,6.3,65,Weekend
500486,2339,2025-12-31,9.1,91,Weekday
500487,2296,2026-01-24,8.3,73,Weekend
500488,2329,2026-01-04,7.3,56,Weekend
500489,2233,2025-12-07,6.0,64,Weekend
500490,2981,2026-02-12,4.4,54,Weekday
500491,2753,2026-02-06,6.8,59,Weekday
500492,2948,2026-01-26,8.7,59,Weekday
500493,3127,2025-12-10,5.8,82,Weekday
500494,1901,2026-02-27,4.8,71,Weekday
500495,1890,2026-02-04,11.2,73,Weekday
500496,2570,2026-02-20,4.0,72,Weekday
500497,2824,2026-02-19,9.3,61,Weekday
500498,3065,2026-02-12,3.8,62,Weekday
500499,2188,2025-12-26,5.0,67,Weekday
500500,2548,2025-12-17,9.4,72,Weekday
500501,1201,2026-01-18,7.5,52,Weekend
500502,1740,2025-12-17,5.8,65,Weekday
500503,2369,2025-12-28,11.1,57,Weekend
500504,2389,2025-12-07,3.5,73,Weekend
500505,3000,2025-12-06,8.3,65,Weekend
500506,2471,2026-01-06,10.3,57,Weekday
500507,2536,2026-01-16,6.9,63,Weekday
500508,1318,2026-02-27,7.1,63,Weekday
500509,3264,2026-01-09,7.4,69,Weekday
500510,2057,2026-01-08,2.7,77,Weekday
500511,2894,2026-01-12,4.9,73,Weekday
500512,3313,2026-02-27,10.0,62,Weekday
500513,1723,2026-02-21,4.5,72,Weekend
500514,2700,2026-02-08,5.7,69,Weekend
500515,1412,2026-02-07,3.3,63,Weekend
500516,2275,2026-01-05,4.7,56,Weekday
500517,1400,2025-12-23,8.5,69,Weekday
500518,2839,2026-02-08,2.9,67,Weekend
500519,1723,2026-01-15,1.8,66,Weekday
500520,3329,2025-12-07,9.6,73,Weekend
500521,2135,2026-02-16,6.8,60,Weekday
500522,1750,2026-02-07,3.5,71,Weekend
500523,1267,2026-01-15,8.3,62,Weekday
500524,3345,2026-02-12,3.7,59,Weekday
500525,2340,2026-02-18,6.2,81,Weekday
500526,1569,2026-01-19,4.4,66,Weekday
500527,2973,2026-01-22,1.6,60,Weekday
500528,1545,2026-02-23,9.8,69,Weekday
500529,1364,2026-01-20,4.8,70,Weekday
500530,1546,2026-01-28,10.8,63,Weekday
500531,1270,2025-12-16,7.1,67,Weekday
500532,1738,2025-12-02,5.3,74,Weekday
500533,2257,2026-02-13,3.7,86,Weekday
500534,1058,2026-02-13,6.9,66,Weekday
500535,2274,2026-02-08,8.2,50,Weekend
500536,2870,2026-01-29,9.5,65,Weekday
500537,1085,2026-01-12,8.5,61,Weekday
500538,1762,2026-02-20,6.1,67,Weekday
500539,1389,2025-12-14,8.3,66,Weekend
500540,2203,2026-02-07,5.7,71,Weekend
500541,1718,2025-12-21,11.0,60,Weekend
500542,1148,2026-01-07,5.9,68,Weekday
500543,1582,2026-02-18,8.3,67,Weekday
500544,1120,2026-01-20,0.6,72,Weekday
500545,3303,2026-01-05,8.2,51,Weekday
500546,1765,2025-12-24,7.9,60,Weekday
500547,1799,2026-02-18,12.2,73,Weekday
500548,3106,2025-12-16,5.6,63,Weekday
500549,2021,2025-12-29,11.4,58,Weekday
500550,2469,2025-12-13,6.9,68,Weekend
500551,3435,2026-02-28,11.1,70,Weekend
500552,2109,2026-01-02,7.7,72,Weekday
500553,2250,2025-12-06,5.2,72,Weekend
500554,2649,2026-01-27,10.8,68,Weekday
500555,2815,2026-01-01,5.8,59,Weekday
500556,2345,2026-01-01,5.8,71,Weekday
500557,2341,2025-12-29,7.5,68,Weekday
500558,3446,2026-02-16,6.9,69,Weekday
500559,2732,2026-01-10,8.3,69,Weekend
500560,1898,2026-01-23,7.5,71,Weekday
500561,3340,2025-12-29,8.4,70,Weekday
500562,1484,2026-01-06,8.3,59,Weekday
500563,1802,2026-02-16,3.4,64,Weekday
500564,2715,2026-01-06,1.3,60,Weekday
500565,2915,2026-02-22,7.6,71,Weekend
500566,2757,2026-01-21,4.9,63,Weekday
500567,2809,2026-02-20,4.5,58,Weekday
500568,3291,2026-01-11,6.0,70,Weekend
500569,2443,2026-01-23,7.5,73,Weekday
500570,2952,2026-01-29,6.5,70,Weekday
500571,3320,2026-02-02,8.8,73,Weekday
500572,2670,2026-02-17,4.3,59,Weekday
500573,2848,2026-02-18,12.0,63,Weekday
500574,1519,2026-01-19,9.4,70,Weekday
500575,2151,2026-01-30,5.9,53,Weekday
500576,2396,2026-01-01,12.5,63,Weekday
500577,3206,2026-02-23,0.5,66,Weekday
500578,1651,2025-12-04,9.7,73,Weekday
500579,3223,2026-01-09,6.9,67,Weekday
500580,2950,2026-01-08,10.2,65,Weekday
